country,active_personnel,aircraft_carriers,armored_fighting_vehicles,attack_aircraft,attack_helicopters,border_coverage_km,coastal_patrol_craft,coastline_coverage_km,corvettes,defense_budget_usd,destroyers,fighter_aircraft,fit_for_service,frigates,helicopter_carriers,major_ports_and_terminals,paramilitary,population_reaching_military_age_annually,purchasing_power_parity_usd,railway_coverage_km,reserve_personnel,roadway_coverage_km,rocket_projectors,self_propelled_artillery,special_mission_aircraft,submarines,tanker_aircraft,tanks,total_land_area_sq_km,total_military_aircraft,total_military_helicopters,total_military_manpower,total_naval_fleet,total_population,total_serviceable_airports,towed_artillery,trainer_aircraft,transport_aircraft,waterway_coverage_km,Power_Score,Power_Rank,Power_Index_Rank_Gap,Total_Assets,Assets_Per_Capita,Budget_to_GDP_Ratio,Continent,Region,Alliance,Military_Readiness_Index,Budget_per_Soldier,Manpower_Density,Tank_Density,Naval_Strength_per_Coastline,Air_Power_Ratio,Logistics_Strength_Index
Georgia,55000,0,3392,5,11,1814,31,310,0,495629055,0,0,2225036,0,0,3,0,93118,83656000000,1363,152500,20295,42,67,0,0,0,123,69700,61,44,2744538,19,4900961,19,121,10,2,0,55203,69,68,203,4.14E-05,0.005924609,Europe,Europe,Non-NATO,0.093256918,9011.437364,0.559999967,0.001764706,0.061290323,0.001109091,0.310731707
Germany,181600,0,83260,63,54,3694,0,2389,5,50000000000,0,129,30955829,11,0,35,0,841191,5.23E+12,39379,34000,830000,33,134,26,6,3,296,357022,584,309,38694786,61,84119100,838,0,35,50,7300,182541,31,30,941,1.12E-05,0.009560229,Europe,Europe,NATO,0.006964763,275330.3965,0.46,0.000829081,0.025533696,0.003215859,2.455532152
Ghana,15500,0,1824,0,0,2420,27,539,0,308500000,0,0,9961658,0,0,4,0,622604,2.29639E+11,947,0,65725,6,0,2,0,0,0,238533,19,10,14873310,28,34589092,11,6,5,2,1293,15547,114,113,47,1.36E-06,0.001343413,Africa,Africa,Non-NATO,0.001555966,19903.22581,0.430000013,0,0.051948052,0.001225806,0.284929129
Greece,142700,0,61888,0,29,1110,39,13676,0,6500000000,0,178,3985676,13,0,57,55000,104611,3.7578E+11,2345,221350,117000,152,589,8,10,0,1344,131957,558,293,4916713,192,10461091,81,698,81,15,6,144794,40,39,2094,0.00020017,0.017297355,Europe,Europe,Non-NATO,0.091339587,45550.10512,0.470000022,0.010185136,0.014039193,0.003910301,0.90446888
Guatemala,106114,0,688,4,0,1667,20,400,0,408635000,0,0,6279794,0,0,3,35000,182552,2.23183E+11,800,90000,17440,0,0,0,0,0,5,108889,36,21,7484639,25,18255216,58,50,0,10,990,106180,50,49,66,3.62E-06,0.001830941,North America,North America,Non-NATO,0.031229368,3850.90563,0.410000024,4.59E-05,0.0625,0.000339258,0.176601861
Honduras,52225,0,614,7,0,1575,93,832,0,413635000,0,4,3144632,0,0,8,23000,95292,68854000000,699,60000,14742,0,0,1,0,0,11,112090,40,8,4192843,98,9529188,129,32,10,10,465,52374,70,69,149,1.56E-05,0.006007422,North America,North America,Non-NATO,0.035687801,7920.248923,0.440000029,9.81E-05,0.117788462,0.000765917,0.141903827
Hungary,41600,0,7797,0,8,2106,0,0,0,4576000000,0,12,3794462,0,0,0,15000,118269,3.88906E+11,7687,20000,203601,0,24,0,0,0,209,103000,69,44,4632200,0,9855745,109,295,12,3,1622,41878,79,78,278,2.82E-05,0.011766339,Europe,Europe,NATO,0.016234186,110000,0.469999985,0.002029126,,0.001658654,2.067087379
Iceland,0,0,150,0,0,0,0,4970,0,312400000,0,0,50237,0,0,43,0,1820,26155000000,0,0,12898,0,0,0,0,0,0,100250,0,0,83728,0,364036,83,0,0,0,0,0,145,144,0,0,0.011944179,Europe,Europe,NATO,0,inf,0.229999231,0,0,,0.128658354
India,1455550,2,148594,130,80,13888,135,7000,18,75000000000,13,513,522786598,14,0,56,2527000,23955181,1.3104E+13,65554,1155000,6371847,264,100,74,18,6,4201,3287263,2229,899,662290299,293,1409128296,311,3975,351,270,14500,1462273,2,1,6723,4.77E-06,0.005723443,Asia,Asia,Non-NATO,0.004993529,51526.91422,0.47,0.001277963,0.041857143,0.00153138,1.962696931
Indonesia,400000,0,20440,34,15,2958,211,54716,25,10600000000,0,41,114595923,7,0,123,250000,4786562,3.906E+12,8159,400000,496607,63,153,17,4,1,331,1904569,459,214,137965608,331,281562465,513,396,112,70,21579,401121,13,12,1121,3.98E-06,0.002713774,Asia,Asia,Non-NATO,0.006981051,26500,0.490000001,0.000173793,0.006049419,0.0011475,0.276359113
