country,region,continent,alliances,metric,value
Ireland,Western Europe,Europe,EU,active_military_manpower,7765.0
New Zealand,Oceania,Oceania,FIVE_EYES,active_military_manpower,8670.0
Georgia,Eastern Europe,Europe,None,active_military_manpower,55000.0
Panama,Central America,North America,None,active_military_manpower,0.0
Mauritania,West Africa,Africa,"ARAB_LEAGUE, AFRICAN_UNION",active_military_manpower,31540.0
Croatia,Southern Europe,Europe,"NATO, EU",active_military_manpower,14325.0
Oman,Middle East,Asia,ARAB_LEAGUE,active_military_manpower,42600.0
Bosnia and Herzegovina,Eastern Europe,Europe,None,active_military_manpower,12770.0
Moldova,Eastern Europe,Europe,None,active_military_manpower,8500.0
Uruguay,South America,South America,None,active_military_manpower,25000.0
Mongolia,East Asia,Asia,None,active_military_manpower,35000.0
Kuwait,Middle East,Asia,ARAB_LEAGUE,active_military_manpower,72000.0
Albania,Southern Europe,Europe,NATO,active_military_manpower,6600.0
Armenia,Eastern Europe,Europe,None,active_military_manpower,57500.0
Namibia,Southern Africa,Africa,AFRICAN_UNION,active_military_manpower,13000.0
Lithuania,Northern Europe,Europe,"NATO, EU",active_military_manpower,23000.0
Qatar,Middle East,Asia,ARAB_LEAGUE,active_military_manpower,66550.0
Gabon,Central Africa,Africa,AFRICAN_UNION,active_military_manpower,4800.0
Botswana,Southern Africa,Africa,AFRICAN_UNION,active_military_manpower,21000.0
North Macedonia,Eastern Europe,Europe,NATO,active_military_manpower,9000.0
Slovenia,Southern Europe,Europe,"NATO, EU",active_military_manpower,7300.0
Kosovo,Eastern Europe,Europe,None,active_military_manpower,10000.0
Latvia,Northern Europe,Europe,"NATO, EU",active_military_manpower,17250.0
Bahrain,Middle East,Asia,ARAB_LEAGUE,active_military_manpower,18400.0
Estonia,Northern Europe,Europe,"NATO, EU",active_military_manpower,7700.0
Bhutan,South Asia,Asia,None,active_military_manpower,7500.0
Luxembourg,Western Europe,Europe,"NATO, EU",active_military_manpower,1000.0
Suriname,South America,South America,None,active_military_manpower,2000.0
Montenegro,Southern Europe,Europe,NATO,active_military_manpower,2350.0
Beliz,Central America,North America,None,active_military_manpower,1650.0
Iceland,Northern Europe,Europe,NATO,active_military_manpower,0.0
China,East Asia,Asia,"BRICS, SCO",aircraft_total,3309.0
India,South Asia,Asia,"BRICS, SCO",aircraft_total,2229.0
United States,North America,North America,"NATO, FIVE_EYES",aircraft_total,13043.0
Indonesia,Southeast Asia,Asia,ASEAN,aircraft_total,459.0
Pakistan,South Asia,Asia,SCO,aircraft_total,1399.0
Nigeria,West Africa,Africa,AFRICAN_UNION,aircraft_total,163.0
Brazil,South America,South America,BRICS,aircraft_total,513.0
Bangladesh,South Asia,Asia,None,aircraft_total,214.0
Russia,Eastern Europe,Europe,"BRICS, SCO",aircraft_total,4292.0
Mexico,Central America,North America,None,aircraft_total,433.0
Japan,East Asia,Asia,None,aircraft_total,1443.0
Ethiopia,East Africa,Africa,"BRICS, AFRICAN_UNION",aircraft_total,103.0
Philippines,Southeast Asia,Asia,ASEAN,aircraft_total,202.0
Democratic Republic of the Congo,Central Africa,Africa,AFRICAN_UNION,aircraft_total,46.0
Egypt,North Africa,Africa,"BRICS, ARAB_LEAGUE, AFRICAN_UNION",aircraft_total,1093.0
Vietnam,Southeast Asia,Asia,ASEAN,aircraft_total,246.0
Iran,Middle East,Asia,"BRICS, SCO",aircraft_total,551.0
Turkiye,Middle East,Asia,NATO,aircraft_total,1083.0
Germany,Western Europe,Europe,"NATO, EU",aircraft_total,584.0
Thailand,Southeast Asia,Asia,ASEAN,aircraft_total,493.0
United Kingdom,Western Europe,Europe,"NATO, FIVE_EYES",aircraft_total,631.0
France,Western Europe,Europe,"NATO, EU",aircraft_total,976.0
Tanzania,East Africa,Africa,AFRICAN_UNION,aircraft_total,39.0
Italy,Southern Europe,Europe,"NATO, EU",aircraft_total,729.0
South Africa,Southern Africa,Africa,"BRICS, AFRICAN_UNION",aircraft_total,182.0
Kenya,East Africa,Africa,AFRICAN_UNION,aircraft_total,156.0
Myanmar,Southeast Asia,Asia,ASEAN,aircraft_total,317.0
South Korea,East Asia,Asia,None,aircraft_total,1592.0
Sudan,North Africa,Africa,"ARAB_LEAGUE, AFRICAN_UNION",aircraft_total,165.0
Colombia,South America,South America,None,aircraft_total,436.0
Uganda,East Africa,Africa,AFRICAN_UNION,aircraft_total,51.0
Spain,Southern Europe,Europe,"NATO, EU",aircraft_total,461.0
Algeria,North Africa,Africa,"ARAB_LEAGUE, AFRICAN_UNION",aircraft_total,608.0
Argentina,South America,South America,None,aircraft_total,239.0
Iraq,Middle East,Asia,ARAB_LEAGUE,aircraft_total,391.0
Afghanistan,South Asia,Asia,None,aircraft_total,9.0
Canada,North America,North America,"NATO, FIVE_EYES",aircraft_total,351.0
Poland,Eastern Europe,Europe,"NATO, EU",aircraft_total,479.0
Morocco,North Africa,Africa,"ARAB_LEAGUE, AFRICAN_UNION",aircraft_total,260.0
Angola,Southern Africa,Africa,AFRICAN_UNION,aircraft_total,298.0
Saudi Arabia,Middle East,Asia,"BRICS, ARAB_LEAGUE",aircraft_total,917.0
Uzbekistan,Central Asia,Asia,SCO,aircraft_total,192.0
Ukraine,Eastern Europe,Europe,None,aircraft_total,324.0
Ghana,West Africa,Africa,AFRICAN_UNION,aircraft_total,19.0
