Country,total_population,active_personnel,reserve_personnel,paramilitary,total_military_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,trainer_aircraft,special_mission_aircraft,tanker_aircraft,total_military_helicopters,attack_helicopters,tanks,armored_fighting_vehicles,self_propelled_artillery,towed_artillery,rocket_projectors,total_naval_fleet,aircraft_carriers,helicopter_carriers,submarines,destroyers,frigates,corvettes,coastal_patrol_craft,mine_warfare_craft,defense_budget_usd,purchasing_power_parity_usd,foreign_exchange_and_gold_reserves_usd,total_serviceable_airports,major_ports_and_terminals,railway_coverage_km,roadway_coverage_km
Zimbabwe,17150352,29000,0,21800,95,13,0,14,40,0,0,28,6,15,828,0,0,0,0,0,0,0,0,0,0,0,0,530800000,58583000000,115530000,144,0,3427,97267
North Macedonia,2135622,9000,60000,3500,20,0,0,0,10,0,0,10,4,20,1108,0,150,17,0,0,0,0,0,0,0,0,0,388421700,42444000000,5015000000,13,0,699,14182
South Sudan,12703714,185000,0,0,20,0,0,5,0,0,0,15,6,30,1950,24,0,15,0,0,0,0,0,0,0,0,0,175300000,20010000000,183615000,82,0,248,90200
Uganda,49283041,45000,0,10000,51,6,0,0,12,0,0,30,6,259,3862,6,26,12,0,0,0,0,0,0,0,0,0,985400000,135668000000,3506500000,39,0,1244,20544
Lebanon,5364482,60000,35000,65000,80,0,9,0,9,0,0,68,0,116,4538,12,353,11,64,0,0,0,0,0,0,61,0,768250325,65818000000,26498095000,8,5,401,21705
Namibia,2803660,13000,0,5000,34,11,0,3,14,0,0,7,2,4,2094,0,25,25,15,0,0,0,0,0,2,12,0,370500000,29944000000,2956000000,255,2,2628,48875
Luxembourg,671254,1000,0,0,1,0,0,1,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,726092925,88533000000,2977000000,3,0,271,2875
Afghanistan,40121552,0,0,80000,9,0,0,3,0,0,0,6,1,0,5202,0,0,0,0,0,0,0,0,0,0,0,0,290000000,54772700000,8852092000,67,0,0,34903
Niger,26342784,25000,0,5000,26,0,2,7,0,2,0,13,1,0,456,0,0,0,0,0,0,0,0,0,0,0,0,336400000,44561000000,1442772000,26,0,0,18949
Eritrea,6343956,120000,130000,0,20,1,0,5,1,0,0,13,6,65,860,23,75,22,23,0,0,0,0,0,0,18,0,198000000,9702000000,225014976,10,2,306,16000
