overall_rank,country,manpower_norm,air_power_norm,land_power_norm,naval_power_norm,logistics_power_norm,energy_power_norm,geographical_power_norm,economic_power_norm,debt_norm,budget_to_gdp_norm,assets_per_capita_norm,is_nato,is_eu,is_brics,overall_power_index,power_rank_gap
23,Italy,0.03568902052086618,0.056127665790242476,0.18508645117969968,0.08627786912026392,0.07365099737023868,0.002416172297400046,0.018144294346645846,0.09659028416752657,0.983379827439908,0.06123498920891001,0.04196238352559967,1,1,0,0.15439696707997747,22
24,Greece,0.006666380752633945,0.04243353783231084,0.16203113294765825,0.05196102749022353,0.017491840145988997,0.00018481338942119815,0.008502110797366118,0.011329141374287626,0.9726048888080235,0.10619464984462518,0.13330847765337664,1,1,0,0.15013788596616282,23
25,Pakistan,0.142025023179076,0.10615687992988607,0.060216422341760896,0.026851172624824823,0.040032630720701845,0.013823402769370538,0.046603935435196905,0.03916055255205325,0.9987156878164773,0.034821598647959015,0.008102021127033787,0,0,0,0.14773487745922873,24
26,United Kingdom,0.04140546402876838,0.049189307624890447,0.09684386172822185,0.09456466096478455,0.05984047525262143,0.00592409546277706,0.015045043823682807,0.11302025233110982,0.9514677229748586,0.1186398367453899,0.032134883091454534,1,0,0,0.14650553516974493,25
27,Egypt,0.06136569239716696,0.08347940403155127,0.11820297799948387,0.05667210883439898,0.010243113071620924,0.03891876392544393,0.05851647323436172,0.05583069481909936,0.9989843495681,0.018878846245307897,0.018226881945378668,0,0,1,0.14634886112528142,26
28,Poland,0.025197714125865866,0.036225533158048495,0.06169715403868944,2.3028861400317894e-05,0.06375294446024098,0.00297089841503878,0.01853774053316101,0.0531841781441346,0.9955181825048929,0.18501653681992242,0.029948441209311432,1,1,0,0.14188881741265716,27
29,Nigeria,0.15591216280452247,0.012562080046742623,0.024323085133303435,5.877157336539463e-05,0.02895563433535558,0.1192702992785126,0.05432685940257592,0.037762161152448015,0.9995235447031464,0.01521597690966128,0.007639804869759889,0,0,0,0.14177882190569457,28
30,Mexico,0.08070401920038735,0.03246421267893661,0.04947798570379854,7.580333544271307e-05,0.10586100843361236,0.006295255859081639,0.11477168823581418,0.08856803202037898,0.9975806295732154,0.01624055658472573,0.013272061559887777,0,0,0,0.14167432211649023,29
31,Oman,0.002105876302060189,0.009348524685947998,0.011019049074605327,9.355474943879145e-06,0.008743166547975247,0.01474989390618307,0.018142961809127094,0.006055789417889536,0.9948770904595637,0.270718077711194,0.06366307646769352,0,0,0,0.1393377072439294,30
32,Iraq,0.02333279516232042,0.03140520011685656,0.1000408391314043,2.3028861400317894e-05,0.008991853333924616,0.07943296245584938,0.02592440155450351,0.0198344302674019,0.998528833889341,0.08489932022135603,0.029843641107465936,0,0,0,0.1382422875834422,31
33,Kuwait,0.0023460040603559824,0.00993280747881975,0.015293377797042044,5.493342979867498e-05,0.0008604041073318256,0.039294817310159554,0.0010887410892347076,0.007973513212531624,0.9953005866503603,0.19478013565258695,0.1152445782541988,0,0,0,0.13741963858298883,32
34,Argentina,0.02764301674601875,0.018441425650014606,0.055919544405665364,0.029312861954929638,0.04349844918572468,0.009956867157131845,0.1627061334152786,0.03602933641495473,0.9972880322825277,0.004617676936376616,0.022431711674657687,0,0,0,0.13718157194083255,33
