country,continent,region,is_nato,overall_rank,kpi_name,kpi_value
Israel,Other,Other,0,33,overall_power_index,0.07540814
Sierra Leone,Other,Other,0,129,overall_power_index,0.002365484
Austria,Other,Other,0,92,overall_power_index,0.011087767
Switzerland,Other,Other,0,39,overall_power_index,0.057966642
Laos,Other,Other,0,70,overall_power_index,0.019796097
Paraguay,Other,Other,0,57,overall_power_index,0.027426105
Libya,Other,Other,0,84,overall_power_index,0.012905184
Bulgaria,Other,Other,1,73,overall_power_index,0.016794925
Nicaragua,Other,Other,0,99,overall_power_index,0.009127025
Serbia,Other,Other,0,55,overall_power_index,0.028719266
El Salvador,Other,Other,0,106,overall_power_index,0.007202608
Eritrea,Other,Other,0,80,overall_power_index,0.014177479
Kyrgyzstan,Other,Other,0,86,overall_power_index,0.012755675
Republic of the Congo,Other,Other,0,136,overall_power_index,0.002016556
Singapore,Other,Other,0,43,overall_power_index,0.050345943
Denmark,Other,Other,1,62,overall_power_index,0.025487432
Turkmenistan,Other,Other,0,91,overall_power_index,0.011135394
Central African Republic,Other,Other,0,142,overall_power_index,0.000516365
Finland,Other,Other,1,20,overall_power_index,0.106929183
Slovakia,Other,Other,1,119,overall_power_index,0.003575064
Norway,Other,Other,1,66,overall_power_index,0.022777426
Liberia,Other,Other,0,138,overall_power_index,0.001464295
Lebanon,Other,Other,0,59,overall_power_index,0.027126822
Ireland,Other,Other,0,118,overall_power_index,0.004344568
New Zealand,Other,Other,0,113,overall_power_index,0.005274941
Georgia,Other,Other,0,79,overall_power_index,0.014284215
Panama,Other,Other,0,90,overall_power_index,0.011445629
Mauritania,Other,Other,0,112,overall_power_index,0.005353643
Croatia,Other,Other,1,87,overall_power_index,0.011843609
Oman,Other,Other,0,76,overall_power_index,0.015486779
Bosnia and Herzegovina,Other,Other,0,134,overall_power_index,0.002163968
Moldova,Other,Other,0,126,overall_power_index,0.002958577
Uruguay,Other,Other,0,105,overall_power_index,0.007653951
Mongolia,Other,Other,0,102,overall_power_index,0.008489571
Kuwait,Other,Other,0,48,overall_power_index,0.043927897
Albania,Other,Other,1,107,overall_power_index,0.00709671
Armenia,Other,Other,0,96,overall_power_index,0.010151742
Namibia,Other,Other,0,109,overall_power_index,0.006185327
Lithuania,Other,Other,1,100,overall_power_index,0.009036384
Qatar,Other,Other,0,49,overall_power_index,0.042394552
Gabon,Other,Other,0,131,overall_power_index,0.002267594
Botswana,Other,Other,0,133,overall_power_index,0.002200101
North Macedonia,Other,Other,1,122,overall_power_index,0.0033398
Slovenia,Other,Other,1,125,overall_power_index,0.003139935
Kosovo,Other,Other,0,140,overall_power_index,0.000895537
Latvia,Other,Other,1,103,overall_power_index,0.008088886
Bahrain,Other,Other,0,63,overall_power_index,0.024814441
Estonia,Other,Other,1,110,overall_power_index,0.006059179
Bhutan,Other,Other,0,144,overall_power_index,0.000353161
Luxembourg,Other,Other,1,145,overall_power_index,0.000329772
Suriname,Other,Other,0,114,overall_power_index,0.0050419
Montenegro,Other,Other,1,117,overall_power_index,0.004512688
Beliz,Other,Other,0,130,overall_power_index,0.002328406
Iceland,Other,Other,1,143,overall_power_index,0.00040455
