global_rank,country_name,active-reserve-military-manpower,aircraft-helicopters-attack,aircraft-helicopters-total,aircraft-total,aircraft-total-fighters,aircraft-total-transports,armor-apc-total,armor-tanks-total,border-coverage,coal-consumption-by-country,coal-production-by-country,coastline-coverage,external-debt-by-country,labor-force-by-country,major-serviceable-airports-by-country,manpower-fit-for-military-service,manpower-paramilitary,manpower-reaching-military-age-annually,natural-gas-production-by-country,navy-aircraft-carriers,navy-force-by-tonnage,navy-frigates,navy-helo-carriers,navy-mine-warfare-craft,navy-ships,navy-submarines,oil-consumption-by-country,oil-production-by-country,proven-coal-reserves-by-country,proven-natural-gas-reserves-by-country,proven-oil-reserves-by-country,purchasing-power-parity,railway-coverage,reserves-of-foreign-exchange-and-gold,roadway-coverage,total-population-by-country,waterway-coverage
53,Morocco,150000,0,78,260,83,31,7877,903,2363,11940000,0.0,1835,45645000000,12284000,49,15254135,50000,635589,82595000.0,0,124962.0,6,0,0,111,0,318000,25,96000000.0,1444000000.0,684000,337480000000,2067,36328000000,57300,37387585,0
54,Turkmenistan,0,10,26,91,24,5,5016,654,4158,0,0.0,1768,2134500000,2163000,23,2245963,3500,109139,86472000000.0,0,124962.0,0,0,0,16,0,152000,272000,800000000.0,11327000000000.0,600000000,94790000000,5113,23415400000,58592,5744151,1300
55,Ethiopia,0,7,33,103,25,8,7256,338,5925,660000,8000.0,0,25761000000,61664000,57,35327989,0,2726657,0.0,0,124962.0,0,0,0,0,0,110000,0,0.0,24919000000.0,428000,354604000000,659,3131288000,120171,118550298,0
56,Uzbekistan,0,34,101,192,58,13,2970,340,6893,7396000,5356000.0,420,19652500000,14270000,74,15959499,20000,730412,47500000000.0,0,124962.0,0,0,0,0,0,91000,64000,1375000000.0,1841000000000.0,594000000,319174000000,4642,34558000000,86496,36520593,1100
57,Portugal,211700,0,31,115,28,19,10828,34,1224,0,0.0,1793,399395000000,5140900,136,4096295,24700,127677,0.0,0,38657.0,5,0,0,194,2,191000,12932,40000000.0,72000000000.0,22440000,529901000000,3622,53710000000,136635,10639726,764
58,Sudan,85000,35,64,165,37,13,2900,224,6819,0,0.0,853,37846000000,13590000,41,17108407,17500,1312149,0.0,0,124962.0,0,0,0,6,0,127000,68000,0.0,84951000000.0,1250000000,136039000000,7251,206763700,31000,50467278,4068
59,Angola,0,15,116,298,71,31,5500,309,5369,0,0.0,1600,45774500000,15223000,106,3720206,10000,372021,5514000000.0,0,124962.0,0,0,0,31,0,127000,1175000,0.0,343002000000.0,7783000000,265868000000,2761,13942000000,26000,37202061,1300
60,Azerbaijan,300000,16,86,154,12,3,7642,497,2468,60000,0.0,713,16159500000,5473000,32,3908638,15000,159754,34175000000.0,0,124962.0,0,0,4,38,4,105000,618000,0.0,1699000000000.0,7000000000,215896000000,2944,13749000000,24981,10650239,0
61,Romania,55000,0,65,140,21,14,10774,328,2844,19404000,18160000.0,225,132000000000,8282000,82,7731114,15000,199630,9501000000.0,0,124962.0,3,0,5,20,0,221000,67000,291000000.0,105480000000.0,600000000,772107000000,10628,73000000000,84185,18148155,1731
62,Bolivia,40000,0,33,64,0,15,890,54,7252,9000,0.0,0,11431000000,6114000,200,4112199,0,233928,13760000000.0,0,124962.0,0,0,0,67,0,87000,58000,1000000.0,302990000000.0,240900000,119785000000,3690,1800000000,90568,12311974,10000
63,Sri Lanka,90000,9,55,85,5,14,3190,44,0,2084000,0.0,1340,46409500000,8707000,18,8551235,0,307757,0.0,0,27136.0,5,0,0,270,0,121000,0,0.0,0.0,0,287132000000,1562,3450700000,114093,21982608,160
64,Denmark,12000,0,34,117,31,4,3856,44,140,1788000,0.0,7314,555500000000,3180000,99,2126436,51000,77651,1879000000.0,0,121180.0,9,0,6,50,0,152000,63000,0.0,29534000000.0,441000000,428385000000,2682,109371000000,74558,5973136,400
65,Switzerland,49715,0,40,146,43,16,6996,205,1770,161000,0.0,0,2200000000000,4991000,62,3163225,5000,97466,0.0,0,124962.0,0,0,0,0,0,193000,300,0.0,0.0,0,733779000000,5296,863892000000,71557,8860574,1292
66,Libya,0,4,16,143,10,6,1816,43,4339,0,0.0,1770,3322000000,2398000,66,3290485,100000,125141,11832000000.0,0,124962.0,0,0,1,5,0,230000,1245000,0.0,1505000000000.0,48363000000,121951000000,2000,92427000000,37000,7361263,0
67,Bulgaria,3000,4,27,65,10,6,4914,90,1806,35970000,35516000.0,354,27138500000,3103000,111,2611324,0,61044,20837000.0,0,124962.0,4,0,10,36,0,101000,4000,2366000000.0,5663000000.0,15000000,214061000000,4029,46334000000,19512,6782659,470
68,Syria,50000,14,77,207,104,3,11148,365,2363,47000,0.0,193,4309500000,6315000,39,13245310,50000,668232,3085000000.0,0,124962.0,0,0,4,27,0,138000,75000,0.0,240693000000.0,2500000000,55935900000,2052,341962500,69873,23865423,900
