country,total_population_by_country,total_population_by_country_rank,available_military_manpower,available_military_manpower_rank,manpower_fit_for_military_service,manpower_fit_for_military_service_rank,manpower_reaching_military_age_annually,manpower_reaching_military_age_annually_rank,active_military_manpower,active_military_manpower_rank,active_reserve_military_manpower,active_reserve_military_manpower_rank,manpower_paramilitary,manpower_paramilitary_rank,aircraft_total,aircraft_total_rank,aircraft_total_fighters,aircraft_total_fighters_rank,aircraft_total_attack_types,aircraft_total_attack_types_rank,aircraft_total_transports,aircraft_total_transports_rank,aircraft_total_trainers,aircraft_total_trainers_rank,aircraft_total_special_mission,aircraft_total_special_mission_rank,aircraft_total_tanker_fleet,aircraft_total_tanker_fleet_rank,aircraft_helicopters_total,aircraft_helicopters_total_rank,aircraft_helicopters_attack,aircraft_helicopters_attack_rank,armor_tanks_total,armor_tanks_total_rank,armor_apc_total,armor_apc_total_rank,armor_self_propelled_guns_total,armor_self_propelled_guns_total_rank,armor_towed_artillery_total,armor_towed_artillery_total_rank,armor_mlrs_total,armor_mlrs_total_rank,navy_ships,navy_ships_rank,navy_force_by_tonnage,navy_force_by_tonnage_rank,navy_aircraft_carriers,navy_aircraft_carriers_rank,navy_helo_carriers,navy_helo_carriers_rank,navy_submarines,navy_submarines_rank,navy_destroyers,navy_destroyers_rank,navy_frigates,navy_frigates_rank,navy_corvettes,navy_corvettes_rank,navy_patrol_coastal_craft,navy_patrol_coastal_craft_rank,navy_mine_warfare_craft,navy_mine_warfare_craft_rank,defense_spending_budget,defense_spending_budget_rank,external_debt_by_country,external_debt_by_country_rank,purchasing_power_parity,purchasing_power_parity_rank,reserves_of_foreign_exchange_and_gold,reserves_of_foreign_exchange_and_gold_rank,major_serviceable_airports_by_country,major_serviceable_airports_by_country_rank,labor_force_by_country,labor_force_by_country_rank,major_ports_and_terminals,major_ports_and_terminals_rank,merchant_marine_strength_by_country,merchant_marine_strength_by_country_rank,railway_coverage,railway_coverage_rank,roadway_coverage,roadway_coverage_rank,oil_production_by_country,oil_production_by_country_rank,oil_consumption_by_country,oil_consumption_by_country_rank,proven_oil_reserves_by_country,proven_oil_reserves_by_country_rank,natural_gas_production_by_country,natural_gas_production_by_country_rank,natural_gas_consumption_by_country,natural_gas_consumption_by_country_rank,proven_natural_gas_reserves_by_country,proven_natural_gas_reserves_by_country_rank,coal_production_by_country,coal_production_by_country_rank,coal_consumption_by_country,coal_consumption_by_country_rank,proven_coal_reserves_by_country,proven_coal_reserves_by_country_rank,square_land_area,square_land_area_rank,coastline_coverage,coastline_coverage_rank,border_coverage,border_coverage_rank,waterway_coverage,waterway_coverage_rank
Dominican Republic,"10,815,857",82,"4,975,294",83,"4,034,315",76,"97,343",101,"50,000",73,0,108,"30,000",53,79,80,0,105,8,52,11,60,17,78,1,70,0,60,50,63,0,99,5,109,540,128,0,108,11,104,0,109,34,63,,,0,33,0,33,0,58,0,36,0,64,0,62,14,68,0,69,"$                        							810,800,000",93,"$                        							27,500,000,000",78,"$                        							261,616,000,000",65,"$                        							15,547,000,000",67,32,108,"5,302,000",79,17,43,40,92,"496                        						
							km",110,"19,705                        						
							km",112,"0                        						
							bbl",117,"134,000                        						
							bbl",70,"0                        						
							bbl",105,"0                        						
							Cu.M",105,"2,440,000,000                        						
							Cu.M",75,"0                        						
							Cu.M",105,"0                        						
							Cu.M",93,"2,188,000                        						
							mt",64,"0                        						
							Cu.M",99,"48,320                        						
							km",122,"1,288                        						
							km",62,"376                        						
							km",130,"0                        						
							km",111
Azerbaijan,"10,650,239",83,"5,218,617",80,"3,908,638",78,"159,754",78,"126,400",42,"300,000",23,"15,000",66,154,56,12,69,18,36,3,107,35,54,0,83,0,37,86,43,16,34,497,27,"7,642",51,198,21,650,15,268,16,38,60,,,0,14,0,15,4,23,0,17,0,55,0,49,17,63,4,29,"$                        							5,000,000,000",49,"$                        							16,159,500,000",92,"$                        							215,896,000,000",73,"$                        							13,749,000,000",70,32,109,"5,473,000",76,0,114,312,45,"2,944                        						
							km",60,"24,981                        						
							km",102,"618,000                        						
							bbl",27,"105,000                        						
							bbl",80,"7,000,000,000                        						
							bbl",19,"34,175,000,000                        						
							Cu.M",22,"11,759,000,000                        						
							Cu.M",44,"1,699,000,000,000                        						
							Cu.M",19,"0                        						
							Cu.M",79,"60,000                        						
							mt",103,"0                        						
							Cu.M",86,"86,600                        						
							km",107,"713                        						
							km",73,"2,468                        						
							km",74,"0                        						
							km",105
Portugal,"10,639,726",84,"5,319,863",79,"4,096,295",73,"127,677",87,"24,000",100,"211,700",27,"24,700",58,115,67,28,52,0,122,19,40,23,70,14,26,3,24,31,81,0,132,34,96,"10,828",40,24,73,115,58,0,135,194,15,"38,657",40,0,87,0,87,2,39,0,88,5,34,2,40,20,58,0,103,"$                        							4,627,000,000",52,"$                        							399,395,000,000",27,"$                        							529,901,000,000",47,"$                        							53,710,000,000",42,136,37,"5,140,900",81,18,41,996,19,"3,622                        						
							km",54,"136,635                        						
							km",40,"12,932                        						
							bbl",72,"191,000                        						
							bbl",57,"22,440,000                        						
							bbl",79,"0                        						
							Cu.M",133,"4,500,000,000                        						
							Cu.M",59,"72,000,000,000                        						
							Cu.M",52,"0                        						
							Cu.M",126,"0                        						
							mt",136,"40,000,000                        						
							Cu.M",74,"92,090                        						
							km",105,"1,793                        						
							km",52,"1,224                        						
							km",110,"764                        						
							km",76
Sweden,"10,589,835",85,"4,235,934",88,"3,558,185",87,"105,898",94,"24,400",99,"32,900",67,"25,000",56,169,51,71,29,0,135,6,83,33,60,5,44,1,30,53,62,0,139,110,67,"6,795",57,26,68,0,142,0,141,308,5,"31,673",42,0,103,0,104,4,30,0,104,0,107,7,16,179,3,8,15,"$                        							13,000,000,000",28,"$                        							1,002,448,700,000",18,"$                        							676,353,000,000",41,"$                        							60,863,000,000",40,203,29,"5,825,000",73,92,8,361,43,"10,910                        						
							km",21,"573,134                        						
							km",14,"11,000                        						
							bbl",77,"283,000                        						
							bbl",45,"0                        						
							bbl",140,"0                        						
							Cu.M",140,"889,924,000                        						
							Cu.M",84,"0                        						
							Cu.M",141,"1,115,000                        						
							Cu.M",60,"3,396,000                        						
							mt",53,"5,000,000                        						
							Cu.M",79,"450,295                        						
							km",55,"3,218                        						
							km",31,"2,211                        						
							km",82,"2,052                        						
							km",42
Greece,"10,461,091",86,"4,916,713",84,"3,985,676",77,"104,611",95,"142,700",40,"221,350",26,"55,000",34,558,19,178,16,0,94,15,46,81,32,8,37,0,71,293,14,29,26,"1,344",14,"61,888",9,589,11,698,13,152,28,192,16,"216,348",16,0,44,0,43,10,10,0,47,13,7,0,71,39,32,7,18,"$                        							6,500,000,000",44,"$                        							550,000,000,000",23,"$                        							375,780,000,000",54,"$                        							13,608,000,000",72,81,65,"4,645,000",88,57,15,"1,215",16,"2,345                        						
							km",67,"117,000                        						
							km",43,"5,000                        						
							bbl",87,"303,000                        						
							bbl",42,"10,000,000                        						
							bbl",88,"3,284,000                        						
							Cu.M",91,"5,173,000,000                        						
							Cu.M",56,"991,090,000                        						
							Cu.M",94,"13,703,000                        						
							Cu.M",27,"13,988,000                        						
							mt",29,"2,876,000,000                        						
							Cu.M",28,"131,957                        						
							km",92,"13,676                        						
							km",11,"1,110                        						
							km",113,"6                        						
							km",102
Tajikistan,"10,394,063",87,"4,781,269",86,"3,773,045",82,"176,699",77,"9,500",126,"600,000",11,"20,000",62,25,111,0,143,0,138,1,126,4,108,0,138,0,134,20,99,6,58,38,94,"1,240",106,3,94,13,101,20,75,0,142,,,0,142,0,142,0,142,0,142,0,142,0,142,0,142,0,142,"$                        							446,000,000",108,"$                        							7,150,000,000",112,"$                        							46,467,000,000",125,"$                        							2,748,900,000",116,19,119,"2,677,000",109,0,140,0,142,"680                        						
							km",101,"30,000                        						
							km",97,"300                        						
							bbl",102,"28,000                        						
							bbl",118,"12,000,000                        						
							bbl",87,"18,476,000                        						
							Cu.M",86,"85,567,000                        						
							Cu.M",102,"5,663,000,000                        						
							Cu.M",84,"2,175,000                        						
							Cu.M",50,"2,245,000                        						
							mt",62,"4,075,000,000                        						
							Cu.M",21,"144,100                        						
							km",91,"0                        						
							km",142,"4,130                        						
							km",51,"200                        						
							km",96
United Arab Emirates,"10,032,213",88,"5,818,684",76,"4,945,881",67,"80,258",105,"65,000",64,"130,000",38,"12,000",77,551,21,99,24,16,39,37,26,147,17,27,13,4,21,247,19,30,24,354,33,"8,707",46,165,22,99,64,49,45,181,18,"44,188",38,0,113,0,112,0,115,0,113,0,114,11,7,34,37,2,48,"$                        							2,212,360,382",70,"$                        							264,000,000,000",33,"$                        							719,733,000,000",38,"$                        							189,491,000,000",19,42,95,"6,668,000",69,20,38,655,29,"0                        						
							km",144,"4,080                        						
							km",140,"4,146,000                        						
							bbl",8,"939,000                        						
							bbl",23,"97,800,000,000                        						
							bbl",7,"56,683,000,000                        						
							Cu.M",15,"66,091,000,000                        						
							Cu.M",12,"6,091,000,000                        						
							Cu.M",78,"0                        						
							Cu.M",143,"3,273,000                        						
							mt",56,"0                        						
							Cu.M",143,"83,600                        						
							km",109,"1,318                        						
							km",61,"1,066                        						
							km",116,"0                        						
							km",142
Hungary,"9,855,745",89,"4,632,200",87,"3,794,462",81,"118,269",90,"41,600",79,"20,000",77,"15,000",68,69,83,12,71,0,95,3,110,12,87,0,105,0,74,44,68,8,51,209,54,"7,797",49,24,71,295,35,0,114,0,129,,,0,129,0,129,0,129,0,129,0,129,0,129,0,129,0,129,"$                        							4,576,000,000",53,"$                        							137,500,000,000",43,"$                        							388,906,000,000",53,"$                        							45,719,000,000",47,109,47,"5,006,000",82,0,124,1,122,"7,687                        						
							km",27,"203,601                        						
							km",27,"36,000                        						
							bbl",57,"175,000                        						
							bbl",59,"12,100,000                        						
							bbl",85,"1,523,000,000                        						
							Cu.M",57,"9,485,000,000                        						
							Cu.M",48,"3,738,000,000                        						
							Cu.M",88,"5,450,000                        						
							Cu.M",34,"6,180,000                        						
							mt",45,"2,909,000,000                        						
							Cu.M",27,"103,000                        						
							km",102,"0                        						
							km",126,"2,106                        						
							km",84,"1,622                        						
							km",49
Honduras,"9,529,188",90,"4,192,843",89,"3,144,632",92,"95,292",102,"52,225",70,"60,000",53,"23,000",59,40,97,4,86,7,54,10,66,10,92,1,72,0,73,8,121,0,107,11,105,614,125,0,113,32,87,0,113,98,37,,,0,46,0,45,0,67,0,49,0,73,0,73,93,14,0,76,"$                        							413,635,000",109,"$                        							8,805,500,000",107,"$                        							68,854,000,000",105,"$                        							7,543,000,000",85,129,39,"4,676,000",87,8,60,489,36,"699                        						
							km",98,"14,742                        						
							km",122,"20                        						
							bbl",105,"67,000                        						
							bbl",91,"0                        						
							bbl",110,"0                        						
							Cu.M",111,"0                        						
							Cu.M",121,"0                        						
							Cu.M",111,"0                        						
							Cu.M",101,"190,000                        						
							mt",92,"0                        						
							Cu.M",108,"112,090                        						
							km",97,"832                        						
							km",71,"1,575                        						
							km",101,"465                        						
							km",86
Belarus,"9,501,451",91,"5,035,769",82,"3,724,569",83,"104,516",96,"63,000",65,"145,000",33,"55,000",33,185,49,36,47,50,13,4,93,27,66,0,85,0,40,68,52,29,25,507,26,"6,916",55,357,17,215,42,206,21,0,121,,,0,121,0,121,0,121,0,121,0,121,0,121,0,121,0,121,"$                        							1,077,900,000",87,"$                        							44,000,000,000",71,"$                        							254,407,000,000",68,"$                        							8,118,000,000",83,46,88,"4,956,000",85,0,115,4,118,"5,528                        						
							km",33,"86,600                        						
							km",56,"30,000                        						
							bbl",60,"131,000                        						
							bbl",71,"198,000,000                        						
							bbl",53,"73,929,000                        						
							Cu.M",74,"16,683,000,000                        						
							Cu.M",41,"2,832,000,000                        						
							Cu.M",89,"0                        						
							Cu.M",81,"778,000                        						
							mt",79,"0                        						
							Cu.M",88,"207,600                        						
							km",81,"0                        						
							km",117,"3,599                        						
							km",56,"2,500                        						
							km",38
Israel,"9,402,617",92,"3,949,099",91,"3,281,513",89,"131,637",85,"170,000",33,"465,000",16,"35,000",50,611,16,240,10,38,17,13,51,159,16,19,21,14,5,147,29,48,14,"1,300",15,"35,985",15,352,18,171,47,183,25,62,49,"38,238",41,0,52,0,52,5,22,0,55,0,77,7,14,46,29,0,81,"$                        							30,500,000,000",17,"$                        							148,500,000,000",42,"$                        							471,030,000,000",51,"$                        							204,661,000,000",17,37,104,"4,554,000",89,5,76,41,91,"1,497                        						
							km",83,"20,391                        						
							km",109,"15,000                        						
							bbl",66,"230,000                        						
							bbl",48,"12,730,000                        						
							bbl",84,"22,886,000,000                        						
							Cu.M",28,"11,510,000,000                        						
							Cu.M",45,"176,018,000,000                        						
							Cu.M",40,"0                        						
							Cu.M",105,"6,476,000                        						
							mt",43,"0                        						
							Cu.M",111,"21,937                        						
							km",135,"273                        						
							km",98,"1,068                        						
							km",115,"0                        						
							km",116
Sierra Leone,"9,121,049",93,"2,006,631",121,"1,203,978",127,"45,605",127,"13,000",120,0,133,0,140,1,141,0,138,0,126,0,142,0,142,0,131,0,121,1,139,0,134,0,142,150,142,0,137,0,138,0,136,7,103,,,0,94,0,95,0,102,0,95,0,102,0,101,7,89,0,107,"$                        							228,600,000",129,"$                        							2,687,000,000",135,"$                        							14,633,000,000",139,"$                        							495,699,000",135,8,136,"2,913,000",104,3,96,584,32,"0                        						
							km",140,"11,701                        						
							km",129,"0                        						
							bbl",138,"9,000                        						
							bbl",136,"0                        						
							bbl",134,"0                        						
							Cu.M",134,"0                        						
							Cu.M",138,"0                        						
							Cu.M",134,"0                        						
							Cu.M",131,"0                        						
							mt",139,"0                        						
							Cu.M",133,"71,740                        						
							km",113,"402                        						
							km",88,"1,093                        						
							km",114,"800                        						
							km",75
Austria,"8,967,982",94,"4,035,592",90,"3,632,033",86,"98,648",98,"16,000",112,"125,600",39,0,121,85,76,15,64,0,70,11,59,18,76,0,82,0,36,41,70,0,81,56,79,"7,322",52,30,65,0,113,0,100,0,120,,,0,120,0,120,0,120,0,120,0,120,0,120,0,120,0,120,"$                        							5,475,750,000",47,"$                        							630,000,000,000",21,"$                        							590,354,000,000",43,"$                        							31,212,000,000",55,61,76,"4,825,000",86,0,113,1,121,"6,123                        						
							km",31,"137,039                        						
							km",39,"18,000                        						
							bbl",65,"245,000                        						
							bbl",47,"35,200,000                        						
							bbl",75,"618,209,000                        						
							Cu.M",63,"8,136,000,000                        						
							Cu.M",50,"5,040,000,000                        						
							Cu.M",85,"1,271,000                        						
							Cu.M",57,"5,026,000                        						
							mt",48,"0                        						
							Cu.M",85,"83,871                        						
							km",108,"0                        						
							km",116,"2,524                        						
							km",73,"358                        						
							km",91
Switzerland,"8,860,574",95,"3,898,653",93,"3,163,225",91,"97,466",100,"101,584",51,"49,715",59,"5,000",100,146,58,43,42,0,136,16,44,44,47,3,53,0,131,40,71,0,140,205,55,"6,996",54,133,28,0,143,0,142,0,141,,,0,141,0,141,0,141,0,141,0,141,0,141,0,141,0,141,"$                        							25,039,000,000",20,"$                        							2,200,000,000,000",13,"$                        							733,779,000,000",37,"$                        							863,892,000,000",3,62,75,"4,991,000",83,0,139,17,105,"5,296                        						
							km",35,"71,557                        						
							km",66,"300                        						
							bbl",101,"193,000                        						
							bbl",56,"0                        						
							bbl",141,"0                        						
							Cu.M",141,"3,138,000,000                        						
							Cu.M",65,"0                        						
							Cu.M",142,"0                        						
							Cu.M",138,"161,000                        						
							mt",97,"0                        						
							Cu.M",140,"41,277                        						
							km",126,"0                        						
							km",141,"1,770                        						
							km",93,"1,292                        						
							km",58
Laos,"7,953,556",96,"3,499,565",96,"2,521,277",99,"159,071",79,"100,000",53,"30,000",70,"120,000",19,33,106,0,117,0,103,2,120,8,100,0,111,0,84,23,89,0,111,160,61,"4,380",71,40,58,87,67,64,40,36,62,,,0,59,0,59,0,76,0,61,0,83,0,83,36,34,0,86,"$                        							135,000,000",138,"$                        							16,500,000,000",91,"$                        							64,173,000,000",108,"$                        							1,770,000,000",122,18,123,"3,174,000",98,0,128,1,123,"422                        						
							km",117,"39,568                        						
							km",88,"0                        						
							bbl",123,"24,000                        						
							bbl",121,"0                        						
							bbl",115,"0                        						
							Cu.M",115,"0                        						
							Cu.M",125,"0                        						
							Cu.M",115,"14,845,000                        						
							Cu.M",24,"13,691,000                        						
							mt",30,"62,000,000                        						
							Cu.M",72,"236,800                        						
							km",80,"0                        						
							km",129,"5,274                        						
							km",32,"4,600                        						
							km",27
Paraguay,"7,522,549",97,"3,535,598",95,"3,001,497",93,"150,451",80,"15,650",113,"168,500",30,"15,000",70,39,99,0,135,0,121,11,62,13,86,1,75,0,112,14,108,0,131,0,140,"1,108",110,0,134,25,94,0,133,72,41,,,0,83,0,83,0,94,0,84,0,97,0,97,63,18,0,100,"$                        							17,595,000,000",24,"$                        							14,370,000,000",93,"$                        							108,022,000,000",91,"$                        							9,886,000,000",78,83,61,"3,469,000",93,1,110,108,67,"30                        						
							km",126,"78,811                        						
							km",61,"2,000                        						
							bbl",93,"57,000                        						
							bbl",97,"0                        						
							bbl",132,"0                        						
							Cu.M",132,"0                        						
							Cu.M",137,"0                        						
							Cu.M",132,"0                        						
							Cu.M",125,"1,000                        						
							mt",118,"0                        						
							Cu.M",128,"406,752                        						
							km",58,"0                        						
							km",137,"4,655                        						
							km",39,"3,100                        						
							km",35
Libya,"7,361,263",98,"3,827,857",94,"3,290,485",88,"125,141",88,"32,000",89,0,117,"100,000",24,143,59,10,78,1,67,6,82,38,52,0,115,0,88,16,104,4,66,43,93,"1,816",98,15,81,28,90,25,61,5,108,,,0,63,0,63,0,80,0,65,0,87,1,42,1,110,1,52,"$                        							3,060,000,000",60,"$                        							3,322,000,000",129,"$                        							121,951,000,000",89,"$                        							92,427,000,000",32,66,72,"2,398,000",113,14,50,96,69,"2,000                        						
							km",74,"37,000                        						
							km",90,"1,245,000                        						
							bbl",17,"230,000                        						
							bbl",49,"48,363,000,000                        						
							bbl",9,"11,832,000,000                        						
							Cu.M",38,"9,212,000,000                        						
							Cu.M",49,"1,505,000,000,000                        						
							Cu.M",21,"0                        						
							Cu.M",113,"0                        						
							mt",132,"0                        						
							Cu.M",119,"1,759,540                        						
							km",16,"1,770                        						
							km",53,"4,339                        						
							km",46,"0                        						
							km",123
Bulgaria,"6,782,659",99,"3,187,850",100,"2,611,324",97,"61,044",118,"37,000",85,"3,000",91,0,129,65,85,10,76,5,60,6,79,21,73,0,92,0,49,27,86,4,63,90,71,"4,914",68,48,50,24,95,24,65,36,61,,,0,23,0,23,0,51,0,26,4,36,3,30,0,112,10,13,"$                        							1,373,232,000",80,"$                        							27,138,500,000",80,"$                        							214,061,000,000",74,"$                        							46,334,000,000",46,111,46,"3,103,000",99,2,100,78,75,"4,029                        						
							km",45,"19,512                        						
							km",113,"4,000                        						
							bbl",88,"101,000                        						
							bbl",81,"15,000,000                        						
							bbl",81,"20,837,000                        						
							Cu.M",84,"2,801,000,000                        						
							Cu.M",71,"5,663,000,000                        						
							Cu.M",81,"35,516,000                        						
							Cu.M",16,"35,970,000                        						
							mt",20,"2,366,000,000                        						
							Cu.M",30,"110,880                        						
							km",99,"354                        						
							km",94,"1,806                        						
							km",92,"470                        						
							km",85
Nicaragua,"6,676,948",100,"3,271,705",98,"2,777,610",95,"146,893",81,"45,000",76,0,125,"5,500",91,17,123,0,130,0,118,5,89,1,116,0,125,0,104,11,115,0,127,89,74,"1,869",94,0,130,0,133,0,128,23,79,,,0,76,0,76,0,90,0,77,0,94,0,94,23,52,0,97,"$                        							92,000,000",141,"$                        							9,053,000,000",105,"$                        							51,088,000,000",120,"$                        							5,447,000,000",95,39,100,"3,264,000",96,5,80,5,117,"0                        						
							km",136,"23,897                        						
							km",104,"200                        						
							bbl",103,"36,000                        						
							bbl",110,"0                        						
							bbl",128,"0                        						
							Cu.M",128,"0                        						
							Cu.M",135,"0                        						
							Cu.M",127,"0                        						
							Cu.M",122,"0                        						
							mt",135,"0                        						
							Cu.M",125,"130,370                        						
							km",93,"910                        						
							km",67,"1,253                        						
							km",109,"2,220                        						
							km",41
