global_rank,country_name,active-military-manpower,active-reserve-military-manpower,aircraft-helicopters-attack,aircraft-helicopters-total,aircraft-total,aircraft-total-attack-types,aircraft-total-fighters,aircraft-total-special-mission,aircraft-total-tanker-fleet,aircraft-total-trainers,aircraft-total-transports,armor-apc-total,armor-mlrs-total,armor-self-propelled-guns-total,armor-tanks-total,armor-towed-artillery-total,available-military-manpower,border-coverage,coal-consumption-by-country,coal-production-by-country,coastline-coverage,defense-spending-budget,external-debt-by-country,labor-force-by-country,major-ports-and-terminals,major-serviceable-airports-by-country,manpower-fit-for-military-service,manpower-paramilitary,manpower-reaching-military-age-annually,merchant-marine-strength-by-country,natural-gas-consumption-by-country,natural-gas-production-by-country,navy-aircraft-carriers,navy-corvettes,navy-destroyers,navy-force-by-tonnage,navy-frigates,navy-helo-carriers,navy-mine-warfare-craft,navy-patrol-coastal-craft,navy-ships,navy-submarines,oil-consumption-by-country,oil-production-by-country,proven-coal-reserves-by-country,proven-natural-gas-reserves-by-country,proven-oil-reserves-by-country,purchasing-power-parity,railway-coverage,reserves-of-foreign-exchange-and-gold,roadway-coverage,square-land-area,total-population-by-country,waterway-coverage
44,Israel,170000,465000,48,147,611,38,240,19,14,159,13,35985,183,352,1300,171,3949099,1068,6476000,0.0,273,30500000000,148500000000,4554000,5,37,3281513,35000,131637,41,11510000000.0,22886000000.0,0,7,0,38238.0,0,0,0,46,62,5,230000,15000,0.0,176018000000.0,12730000,471030000000,1497,204661000000,20391,21937,9402617,0
45,Morocco,195800,150000,0,78,260,0,83,4,2,75,31,7877,129,396,903,153,17946041,2363,11940000,0.0,1835,13400000000,45645000000,12284000,12,49,15254135,50000,635589,94,243201000.0,82595000.0,0,1,0,124962.0,6,0,0,105,111,0,318000,25,96000000.0,1444000000.0,684000,337480000000,2067,36328000000,57300,715550,37387585,0
46,Finland,24000,870000,0,27,163,0,54,1,0,77,11,11704,76,107,200,667,2306830,2563,4141000,808000.0,1250,6779661000,660000000000,2880000,37,98,1912981,53800,56264,282,1157000000.0,0.0,0,0,0,19434.0,0,0,18,8,264,0,175000,8000,0.0,0.0,0,321126000000,5918,16929000000,454000,338145,5626414,8000
47,Norway,23250,0,0,33,97,32,0,5,0,23,4,6552,0,42,44,0,2203893,2566,1201000,117000.0,25148,9710000000,716144000000,3009000,141,145,1807192,40000,71627,1720,4548000000.0,123727000000.0,0,6,0,65692.0,4,0,5,18,43,6,229000,2020000,2000000.0,1544455000000.0,8122200000,499528000000,3848,80459000000,94902,323802,5509733,1577
48,Peru,120000,385000,16,111,256,22,15,12,0,72,38,6560,49,12,240,290,15648120,7062,712000,153000.0,2414,3420000000,59400000000,18529000,20,166,12681497,60000,619405,111,7185000000.0,12270000000.0,0,8,0,170344.0,7,0,0,13,71,4,210000,118000,1567000000.0,300159000000.0,858890000,517644000000,1855,71394000000,18699,1285216,32600249,8808
49,South Africa,71235,29350,10,87,182,0,2,0,0,81,12,18692,101,49,252,134,27803618,5244,176148000,245467000.0,2798,2266800000,58773000000,25158000,8,575,14989776,50000,1027525,110,4487000000.0,59128000.0,0,0,0,40186.0,4,0,2,33,49,3,601000,95000,9893000000.0,0.0,15000000,862981000000,20986,62492000000,750000,1219090,60442647,0
50,Kuwait,72000,24000,16,67,128,0,43,0,3,13,2,5636,27,74,367,0,1726095,475,145000,0.0,499,6950000000,55000000000,2463000,6,6,1449920,7500,37660,176,26083000000.0,19285000000.0,0,0,0,124962.0,0,0,0,106,123,0,372000,2910000,0.0,1784000000000.0,101500000000,219060000000,0,52619000000,5749,17818,3138355,0
51,Singapore,51000,252500,18,70,230,0,100,9,11,36,9,8998,24,48,170,89,3918498,0,784000,0.0,193,15000000000,1713410600000,3619000,5,9,2628408,12000,66313,3202,13724000000.0,0.0,0,6,0,81340.0,6,0,4,12,50,6,1470000,0,0.0,0.0,0,754758000000,0,359835000000,3500,719,6028459,0
52,Democratic Republic of the Congo,166580,31000,8,32,46,6,1,0,0,1,6,916,25,8,105,60,39237029,10481,23000,0.0,37,796560000,4994000000,35983000,3,272,31389623,10000,2538867,24,380000.0,380000.0,0,0,0,124962.0,0,0,0,16,16,0,26000,19000,987999000.0,991090000.0,180000000,154012000000,4007,3898125000,152373,2344858,115403027,15000
53,Netherlands,41380,6765,12,63,120,0,32,0,0,21,4,2755,2,46,18,0,7997570,1053,10610000,1825000.0,451,27000000000,4779954300000,9999000,18,45,6486918,5000,195496,1187,33243000000.0,17774000000.0,0,0,0,124962.0,6,0,4,4,64,3,872000,70000,3247000000.0,132608000000.0,137747000,1240000000000,3055,69830000000,139124,41543,17772378,6237
