country,power_rank,power_index,population,total_military_personnel,active_personnel,reserve_personnel,aircraft,helicopters,tanks,naval_assets,defense_budget,total_assets,assets_per_capita,power_index_rank_gap,budget_per_soldier,budget_per_capita,continent,is_nato
Turkmenistan,78,1.7459,5744151,2768681,36500,0,91,26,654,16,1463000000,787,0.00013700893308689135,77,528.4104597098762,254.69386163420845,Other,0
Tunisia,79,1.7823,12048847,6024424,89800,0,155,101,145,37,2172751250,438,3.635202604863353e-05,78,360.65709352462574,180.32856172876956,Other,0
Libya,80,1.7872,7361263,3827857,32000,0,83,22,55,5,1474800000,165,2.2414631836955155e-05,79,385.2808503556951,200.34605474631186,Other,0
Paraguay,81,1.7974,7522549,3535598,15650,168500,49,18,10,73,416800000,150,1.9940049576280593e-05,80,117.88670544558516,55.406751089291674,Other,0
Bolivia,82,1.8301,12311974,5417269,40000,40000,67,29,54,67,467670000,217,1.7625118441608146e-05,81,86.32947708522505,37.98497300270452,Other,0
Cambodia,83,1.8434,17063669,8190561,124300,0,24,20,520,20,750000000,584,3.422476139217187e-05,82,91.56881927867944,43.95303260980977,Other,0
Kenya,84,1.8588,58246378,21551160,50000,0,154,84,188,27,1651803025,453,7.777307629325895e-06,83,76.64566663696989,28.358896839903075,Other,0
Chad,85,1.8594,19093595,6873694,37750,0,40,16,90,0,706800000,146,7.64654325180774e-06,84,102.82680608127158,37.0176491121761,Other,0
Oman,86,1.8823,3901992,1482757,100000,0,128,31,264,17,8364000000,440,0.00011276291699214146,85,5640.843374875317,2143.520540277889,Other,0
Syria,87,1.8861,23865423,15273871,100000,0,104,39,168,12,145925000,323,1.353422480716139e-05,86,9.553897633415916,6.1144945974768605,Other,0
Lithuania,88,1.8949,2628186,1708321,23000,104000,9,4,0,13,5651760000,26,9.892754926782199e-06,87,3308.371201899409,2150.4414071150213,Other,1
Tanzania,89,1.9111,67462121,12143182,25000,0,38,15,200,12,1476113361,265,3.928130276247911e-06,88,121.5590247267973,21.880624847238348,Other,0
New Zealand,90,1.9258,5161211,2219321,10050,3300,47,21,0,8,2455949332,76,1.4725226308321826e-05,89,1106.621949686413,475.8474962562081,Other,0
Slovenia,91,1.9404,2097893,1006989,7000,26000,40,16,54,3,1782000000,113,5.386356692166855e-05,90,1769.6320416608323,849.4236836673748,Other,1
Mozambique,92,1.9769,33350954,14674420,11200,0,23,7,60,36,480000000,126,3.778002872121739e-06,91,32.70998104184015,14.3923918937971,Other,0
Mongolia,93,1.9987,3281676,1870555,35000,230000,8,3,420,0,1590000000,431,0.0001313353298741253,92,850.0151024695879,484.5085255217151,Other,0
Ireland,94,2.0661,5233461,2407392,7557,1720,23,8,0,8,1754400500,39,7.452047507376094e-06,93,728.7556409591791,335.227586486266,Other,0
Georgia,95,2.0779,4900961,2744538,37000,205500,61,44,132,19,680000000,256,5.223465357100373e-05,94,247.7648332797724,138.74829854797866,Other,0
Guatemala,96,2.1277,18255216,7484639,106114,90000,35,20,0,25,616000000,80,4.382309143863321e-06,95,82.30189859524287,33.74378040774757,Other,0
Uruguay,97,2.1537,3425330,1575652,24000,0,43,12,62,16,1903440000,133,3.882837566015537e-05,96,1208.0332459197843,555.695363658392,Other,0
Yemen,98,2.1617,32140443,12213368,33350,0,160,59,0,26,405187500,245,7.622794744926198e-06,97,33.175738256638134,12.606780186570546,Other,0
Cameroon,99,2.1689,30966105,10528476,38000,0,35,21,0,19,835694942,75,2.4220030255661794e-06,98,79.37473020786675,26.98740903965804,Other,0
Tajikistan,100,2.1749,10394063,4781269,150000,600000,25,20,38,0,450460000,83,7.98532777798249e-06,99,94.21348181832062,43.33820181771075,Other,0
Armenia,101,2.2016,2976765,1666988,65000,210000,69,36,109,0,1480000000,214,7.189012233078526e-05,100,887.8288266022311,497.184023596085,Other,0
Latvia,102,2.2316,1801246,810561,17870,38000,3,3,0,18,42000000,24,1.332411008823892e-05,101,51.81596449866204,23.317192654418108,Other,1
Honduras,103,2.2575,9529188,4192843,52225,0,45,11,22,98,612300000,176,1.8469569495323213e-05,102,146.03456413703066,64.25521251128637,Other,0
Mali,104,2.2598,21990607,6817088,40000,0,44,10,0,0,1110000000,54,2.455593881514958e-06,103,162.82612165194288,50.47609645336302,Other,0
Zimbabwe,105,2.2801,17150352,6517134,29000,0,80,28,60,0,1976800000,168,9.795717312391023e-06,104,303.32351613454625,115.26294037580104,Other,0
Estonia,106,2.3201,1193791,584958,7700,230000,2,0,0,8,2375000000,10,8.376675649255188e-06,105,4060.1205556638256,1989.4604666981072,Other,1
Uganda,107,2.3252,49283041,16756234,45000,0,51,30,259,0,1510000000,340,6.898924926325062e-06,106,90.11571454540442,30.63934305514954,Other,0
Ivory Coast,108,2.3884,29981758,12292521,22000,0,22,14,0,8,18200000,44,1.4675590404004996e-06,107,1.480575058606774,0.6070357848929339,Other,0
Kyrgyzstan,109,2.3969,6172101,3147772,23000,0,7,7,215,0,654000000,229,3.7102438861580524e-05,108,207.76600084122992,105.96067692346577,Other,0
Luxembourg,110,2.4429,671254,154388,1200,0,1,0,0,0,1530685000,1,1.4897490368772476e-06,109,9914.53351296733,2280.3365045124497,Other,1
Zambia,111,2.4461,20799116,7279691,15150,0,78,33,75,0,385321000,186,8.942687756537346e-06,110,52.9309554485211,18.525835424928637,Other,0
Ghana,112,2.4566,34589092,14873310,15500,0,18,9,0,20,954423756,47,1.3588098814504872e-06,111,64.17023218100073,27.593200654125294,Other,0
South Sudan,113,2.4645,12703714,6351857,185000,0,19,15,122,0,30700000,156,1.2279873429140486e-05,112,4.833232234289909,2.4166161171449545,Other,0
North Macedonia,114,2.4956,2135622,948216,10010,60000,20,10,0,0,421527100,30,1.4047429741780147e-05,113,444.5475503471783,197.37907738354446,Other,1
Dominican Republic,115,2.5853,10815857,4975294,89000,189000,80,49,6,34,903000000,169,1.5625206583260115e-05,114,181.49681204769004,83.48852985020049,Other,0
Nicaragua,116,2.5894,6676948,3271705,45000,0,17,12,186,23,1311600000,238,3.56450282374522e-05,115,400.8918897027697,196.43705477412735,Other,0
Republic of the Congo,117,2.6259,6097665,2256136,10000,0,14,8,61,4,933360000,87,1.4267756592072539e-05,116,413.69846498615334,153.0684286526072,Other,0
Lebanon,118,2.6521,5364482,2092148,80000,15000,80,68,334,48,800000000,530,9.879798273160391e-05,117,382.38212592990556,149.12903053827006,Other,0
Eritrea,119,2.6841,6343956,2220385,350000,680000,20,13,148,23,219000000,204,3.215659125000236e-05,118,98.63154362869503,34.52104648897313,Other,0
Niger,120,2.6867,26342784,7902835,25000,0,26,13,0,0,488400000,39,1.4804813340913397e-06,119,61.80060699736234,18.540181630005392,Other,0
Afghanistan,121,2.7342,40121552,15647405,75000,0,5,3,0,0,145000000,8,1.9939408126584933e-07,120,9.266712275933294,3.6140177229435193,Other,0
Namibia,122,2.7414,2803660,616805,17567,0,36,7,7,15,450498000,65,2.31839809392009e-05,121,730.373456765104,160.68210838689427,Other,0
Mauritania,123,2.7919,4328040,1687936,31540,66000,23,4,51,6,270625000,84,1.9408323398120164e-05,122,160.32894612117994,62.52830380495559,Other,0
Nepal,124,2.8037,31122387,15249970,98500,82000,17,10,0,0,431355326,27,8.675427112965339e-07,123,28.28565079144418,13.859969224082972,Other,0
Laos,125,2.8672,7953556,3499565,100000,30000,29,20,160,51,355600000,260,3.268978052081358e-05,124,101.61262899817548,44.70956135846658,Other,0
Senegal,126,2.8925,18847519,7162057,17000,0,39,19,0,4,777800000,62,3.289557633553785e-06,125,108.60008514313695,41.268031086744095,Other,0
Burkina Faso,127,2.9213,23042199,8525614,7500,0,26,19,0,0,4590000000,45,1.9529386062502106e-06,126,538.3776464662839,199.1997378375215,Other,0
Montenegro,128,2.9782,599849,143964,2350,0,10,10,0,20,204000000,40,6.668344866791476e-05,127,1417.0209218971409,340.0855882063653,Other,1
El Salvador,129,2.9973,6628702,3181777,25000,0,51,28,0,13,1037200000,92,1.3879036951729012e-05,128,325.98136198734227,156.47105572101447,Other,0
Botswana,130,2.9993,2450668,1029281,12000,0,45,16,45,0,581000000,106,4.32535129197427e-05,129,564.4717040341753,237.0782170412312,Other,0
Madagascar,131,3.0381,29452714,11192031,13500,0,6,5,12,7,147630000,30,1.018581852932127e-06,130,13.190635372614675,5.012441298278997,Other,0
Gabon,132,3.0432,2455105,932940,5000,0,25,16,0,5,340950000,46,1.873646951963358e-05,131,365.45758569682937,138.87389745041455,Other,0
