fighterJS,attackJS,transportJS,trainerJS,specialJS,tankerJS,helicopterJS,attackheloJS,tanksJS,afvJS,spgJS,artilleryJS,mlrsJS,accarrierJS,helocarrierJS,destroyerJS,frigateJS,corvetteJS,subJS,patrolJS,mineJS,Country
0.0,0.0,15.0,19.0,0.0,0.0,33.0,0.0,54,890,0,106,0,,,,,,,,,Bolivia
11.0,0.0,4.0,3.0,0.0,0.0,13.0,4.0,113,6864,60,130,15,0.0,0.0,0.0,1.0,1.0,0.0,6.0,4.0,Cuba
201.0,0.0,84.0,287.0,28.0,7.0,508.0,111.0,2238,61173,1038,1707,296,0.0,1.0,0.0,17.0,9.0,13.0,41.0,11.0,Turkiye
10.0,0.0,0.0,28.0,0.0,0.0,37.0,0.0,45,2848,25,42,42,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,Croatia
0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0,1848,47,0,0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6.0,Latvia
10.0,1.0,6.0,38.0,0.0,0.0,16.0,4.0,43,1816,15,28,25,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,Libya
41.0,34.0,70.0,112.0,17.0,1.0,214.0,15.0,331,20440,153,396,63,0.0,0.0,0.0,7.0,25.0,4.0,211.0,12.0,Indonesia
1.0,6.0,6.0,1.0,0.0,0.0,32.0,8.0,105,916,8,60,25,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,Democratic Republic of the Congo
0.0,7.0,7.0,8.0,2.0,0.0,16.0,3.0,90,3316,10,10,20,,,,,,,,,Chad
6.0,0.0,3.0,0.0,0.0,0.0,15.0,0.0,0,424,0,0,14,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,Gabon
2.0,0.0,7.0,9.0,1.0,0.0,22.0,0.0,45,3074,35,9,25,,,,,,,,,Slovakia
17.0,0.0,21.0,31.0,2.0,0.0,85.0,2.0,188,4128,18,53,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,Kenya
26.0,12.0,16.0,31.0,6.0,4.0,45.0,0.0,48,13506,0,196,36,0.0,0.0,0.0,2.0,6.0,2.0,71.0,4.0,Malaysia
0.0,25.0,26.0,23.0,8.0,0.0,122.0,2.0,10,11878,12,294,0,0.0,0.0,0.0,2.0,1.0,0.0,58.0,0.0,Philippines
0.0,0.0,5.0,23.0,1.0,0.0,20.0,5.0,0,1740,0,20,6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,Senegal
,,,,,,,,0,682,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,Somalia
70.0,36.0,24.0,73.0,3.0,0.0,136.0,39.0,1114,18920,658,615,279,0.0,0.0,0.0,0.0,0.0,0.0,33.0,3.0,Ukraine
6.0,0.0,0.0,12.0,0.0,0.0,30.0,6.0,259,3862,6,26,12,,,,,,,,,Uganda
21.0,0.0,14.0,44.0,2.0,0.0,65.0,0.0,328,10774,0,720,243,0.0,0.0,0.0,3.0,7.0,0.0,3.0,5.0,Romania
0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0,500,9,67,11,,,,,,,,,Moldova
1212.0,371.0,289.0,402.0,112.0,10.0,913.0,281.0,6800,144017,3490,1000,2750,3.0,4.0,50.0,47.0,72.0,61.0,150.0,36.0,China
0.0,0.0,6.0,6.0,2.0,0.0,21.0,0.0,0,430,18,52,20,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,Cameroon
0.0,0.0,8.0,13.0,6.0,0.0,21.0,0.0,0,2114,0,31,0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,New Zealand
1790.0,889.0,918.0,2647.0,647.0,605.0,5843.0,1002.0,4640,391963,671,1212,641,11.0,9.0,81.0,0.0,26.0,70.0,0.0,8.0,United States
328.0,90.0,64.0,565.0,27.0,4.0,373.0,57.0,2627,17516,662,2629,600,0.0,0.0,0.0,9.0,9.0,8.0,69.0,3.0,Pakistan
0.0,5.0,2.0,10.0,0.0,0.0,44.0,11.0,123,3392,67,121,42,0.0,0.0,0.0,0.0,0.0,0.0,31.0,4.0,Georgia
113.0,31.0,29.0,203.0,28.0,9.0,266.0,37.0,227,38200,71,126,29,2.0,0.0,6.0,8.0,0.0,9.0,26.0,7.0,United Kingdom
36.0,50.0,4.0,27.0,0.0,0.0,68.0,29.0,507,6916,357,215,206,,,,,,,,,Belarus
24.0,0.0,3.0,40.0,0.0,0.0,80.0,34.0,150,2764,38,26,17,0.0,0.0,0.0,2.0,2.0,0.0,50.0,0.0,Bahrain
10.0,0.0,11.0,28.0,4.0,0.0,101.0,0.0,90,7913,0,85,0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,Tunisia
0.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0,1108,0,14,0,,,,,,,,,Nepal
240.0,38.0,13.0,159.0,19.0,14.0,147.0,48.0,1300,35985,352,171,183,0.0,0.0,0.0,0.0,7.0,5.0,46.0,0.0,Israel
226.0,0.0,119.0,141.0,44.0,16.0,448.0,68.0,215,110932,96,0,9,1.0,3.0,11.0,11.0,0.0,9.0,20.0,17.0,France
59.0,44.0,49.0,105.0,11.0,0.0,216.0,29.0,614,23138,677,0,196,0.0,0.0,0.0,2.0,2.0,1.0,3.0,26.0,Poland
217.0,38.0,55.0,401.0,141.0,10.0,596.0,119.0,521,31964,149,480,54,0.0,4.0,42.0,6.0,0.0,24.0,6.0,22.0,Japan
43.0,0.0,16.0,44.0,3.0,0.0,40.0,0.0,205,6996,133,0,0,,,,,,,,,Switzerland
0.0,9.0,0.0,9.0,0.0,0.0,68.0,0.0,116,4538,12,353,11,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,Lebanon
0.0,4.0,7.0,7.0,2.0,0.0,4.0,0.0,25,628,0,75,0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,Mauritania
12.0,0.0,3.0,12.0,0.0,0.0,44.0,8.0,209,7797,24,295,0,,,,,,,,,Hungary
0.0,0.0,4.0,0.0,0.0,0.0,21.0,0.0,644,3627,30,430,463,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,Cambodia
27.0,12.0,2.0,15.0,0.0,0.0,30.0,7.0,0,550,0,15,10,0.0,0.0,0.0,0.0,1.0,0.0,12.0,1.0,Yemen
